geoid,name,B25077001,"B25077001, Error"
14000US21111012204,"Census Tract 122.04, Jefferson, KY",251700,40678
14000US21111012205,"Census Tract 122.05, Jefferson, KY",131300,39691
14000US21111012206,"Census Tract 122.06, Jefferson, KY",148600,10320
14000US21111012301,"Census Tract 123.01, Jefferson, KY",144000,7310
14000US21111012302,"Census Tract 123.02, Jefferson, KY",180900,13265
14000US21111012406,"Census Tract 124.06, Jefferson, KY",126700,10666
14000US21111012407,"Census Tract 124.07, Jefferson, KY",144100,10158
14000US21111012408,"Census Tract 124.08, Jefferson, KY",122000,6769
14000US21111012409,"Census Tract 124.09, Jefferson, KY",108700,12857
14000US21111012410,"Census Tract 124.10, Jefferson, KY",173500,8220
14000US21111012412,"Census Tract 124.12, Jefferson, KY",153400,15888
14000US21111012413,"Census Tract 124.13, Jefferson, KY",136800,9157
14000US21111012501,"Census Tract 125.01, Jefferson, KY",107500,11723
14000US21111012502,"Census Tract 125.02, Jefferson, KY",129800,9899
14000US21111012503,"Census Tract 125.03, Jefferson, KY",129800,5478
14000US21111012603,"Census Tract 126.03, Jefferson, KY",126600,10864
14000US21111012604,"Census Tract 126.04, Jefferson, KY",124100,8323
14000US21111012605,"Census Tract 126.05, Jefferson, KY",130700,17967
14000US21111012606,"Census Tract 126.06, Jefferson, KY",127900,10612
14000US21111012701,"Census Tract 127.01, Jefferson, KY",100200,21466
14000US21111012702,"Census Tract 127.02, Jefferson, KY",100400,17261
14000US21111012703,"Census Tract 127.03, Jefferson, KY",141200,13365
14000US21111012801,"Census Tract 128.01, Jefferson, KY",99300,16937
14000US21111012802,"Census Tract 128.02, Jefferson, KY",85800,11994
14000US21111013100,"Census Tract 131, Jefferson, KY",280900,13796
14000US21111980100,"Census Tract 9801, Jefferson, KY",,
